(None, 'caught', 'Herring', 0.5)
(None, 'caught', 'Swordfish', 874.3)
(None, 'caught', 'Cuttlefish', 20.8)
(None, 'caught', 'Red Snapper', 32.2)
(None, 'caught', 'Sailfish', 73.2)
(None, 'caught', 'Shark', 1124.1)
(None, 'caught', 'Ray', 554.3)
(None, 'caught', 'Sardine', 1.6)
(None, 'caught', 'Sturgeon', 4332.7)
(None, 'caught', 'Flounder', 18.8)
(None, 'caught', 'Shrimp', 0.5)
(None, 'caught', 'Sailfish', 217.1)
(None, 'caught', 'Herring', 1.2)
(None, 'caught', 'Sardine', 1.9)
(None, 'caught', 'Lobster', 15.3)
(None, 'caught', 'Moray Eel', 802.1)
(None, 'caught', 'Moray Eel', 737.8)
(None, 'caught', 'Mackerel', 65.6)
(None, 'caught', 'Salmon', 20.4)
(None, 'caught', 'Sardine', 3.4)
(None, 'caught', 'Flounder', 18.2)
(None, 'caught', 'Dolphin', 275.1)
(None, 'caught', 'Amberjack', 107.2)
(None, 'caught', 'Dolphin', 10.0)
(None, 'caught', 'Sturgeon', 1178.2)
(None, 'caught', 'Squid', 1681.1)
(None, 'caught', 'Scorpionfish', 1.5)
(None, 'caught', 'Lionfish', 1.2)
(None, 'caught', 'Moray Eel', 689.5)
(None, 'caught', 'Sardine', 2.1)
(None, 'caught', 'Moray Eel', 1103.2)
(None, 'caught', 'Tuna', 734.3)
(None, 'caught', 'Sole', 8.1)
(None, 'caught', 'Scorpionfish', 3.0)
(None, 'caught', 'Amberjack', 57.1)
(None, 'caught', 'Stingray', 387.7)
(None, 'caught', 'Herring', 1.0)
(None, 'caught', 'Lionfish', 0.9)
(None, 'caught', 'Lionfish', 1.6)
(None, 'caught', 'Ray', 429.8)
(None, 'caught', 'Moray Eel', 474.3)
(None, 'caught', 'Moray Eel', 831.7)
(None, 'caught', 'Sturgeon', 3434.6)
(None, 'caught', 'Moray Eel', 1225.6)
(None, 'caught', 'Piranha', 8.0)
(None, 'caught', 'Haddock', 3.1)
(None, 'caught', 'Haddock', 3.4)
(None, 'caught', 'Cod', 73.3)
(None, 'caught', 'Waspfish', 7.0)
(None, 'caught', 'Ray', 1142.4)
(None, 'caught', 'Moray Eel', 882.5)
(None, 'caught', 'Sea Bass', 6.7)
(None, 'caught', 'Sea Bass', 5.7)
(None, 'caught', 'Shad', 3.0)
(None, 'caught', 'Lionfish', 0.6)
(None, 'caught', 'Amberjack', 91.3)
(None, 'caught', 'Lionfish', 0.7)
(None, 'caught', 'Moray Eel', 962.0)
(None, 'caught', 'Waspfish', 1.0)
(None, 'caught', 'Haddock', 6.2)
(None, 'caught', 'Shad', 16.6)
(None, 'caught', 'Sea Turtle', 147.4)
(None, 'caught', 'Sturgeon', 2616.9)
(None, 'caught', 'Ray', 895.4)
(None, 'caught', 'Sardine', 0.1)
(None, 'caught', 'Sailfish', 96.0)
(None, 'caught', 'Flounder', 32.6)
(None, 'caught', 'Sardine', 0.9)
(None, 'caught', 'Cuttlefish', 18.2)
(None, 'caught', 'Amberjack', 93.8)
(None, 'caught', 'Red Snapper', 19.5)
(None, 'caught', 'Amberjack', 48.2)
(None, 'caught', 'Herring', 0.2)
(None, 'caught', 'Salmon', 16.2)
(None, 'caught', 'Moray Eel', 634.8)
(None, 'caught', 'Lobster', 16.1)
(None, 'caught', 'Blue Marlin', 904.8)
(None, 'caught', 'Sturgeon', 1697.0)
(None, 'caught', 'Barracuda', 13.3)
(None, 'caught', 'Squid', 700.1)
(None, 'caught', 'Amberjack', 54.8)
(None, 'caught', 'Moray Eel', 369.7)
(None, 'caught', 'Sole', 1.0)
(None, 'caught', 'Amberjack', 84.2)
(None, 'caught', 'Lionfish', 3.2)
(None, 'caught', 'Shark', 990.0)
(None, 'caught', 'Moray Eel', 723.2)
(None, 'caught', 'Haddock', 2.2)
(None, 'caught', 'Haddock', 5.3)
(None, 'caught', 'Sturgeon', 3156.0)
(None, 'caught', 'Red Snapper', 25.3)
(None, 'caught', 'Sailfish', 70.2)
(None, 'caught', 'Barracuda', 8.1)
(None, 'caught', 'Lionfish', 1.1)
(None, 'caught', 'Red Snapper', 30.8)
(None, 'caught', 'Halibut', 5.0)
(None, 'caught', 'Moray Eel', 379.7)
(None, 'caught', 'Lionfish', 2.1)
(None, 'caught', 'Red Snapper', 35.7)
(None, 'caught', 'Lionfish', 1.7)
(None, 'caught', 'Stingray', 332.2)
(None, 'caught', 'Cuttlefish', 40.7)
(None, 'caught', 'Shrimp', 1.5)
(None, 'caught', 'Moray Eel', 1320.2)
(None, 'caught', 'Squid', 1198.2)
(None, 'caught', 'Moray Eel', 205.2)
(None, 'caught', 'Waspfish', 1.7)
(None, 'caught', 'Herring', 1.1)
(None, 'caught', 'Lionfish', 2.0)
(None, 'caught', 'Amberjack', 101.0)
(None, 'caught', 'Sailfish', 125.0)
(None, 'caught', 'Cuttlefish', 17.2)
(None, 'caught', 'Moray Eel', 959.1)
(None, 'caught', 'Sardine', 2.2)
(None, 'caught', 'Haddock', 2.3)
(None, 'caught', 'Shark', 2254.7)
(None, 'caught', 'Moray Eel', 810.9)
(None, 'caught', 'Scorpionfish', 1.1)
(None, 'caught', 'Shrimp', 1.8)
(None, 'caught', 'Cuttlefish', 21.6)
(None, 'caught', 'Tuna', 981.2)
(None, 'caught', 'Tuna', 984.2)
(None, 'caught', 'Ray', 782.7)
(None, 'caught', 'Moray Eel', 50.0)
(None, 'caught', 'Dolphin', 157.6)
(None, 'caught', 'Ray', 518.5)
(None, 'caught', 'Grouper', 84.7)
(None, 'caught', 'Herring', 0.4)
(None, 'caught', 'Cuttlefish', 9.7)
(None, 'caught', 'Moray Eel', 490.5)
(None, 'caught', 'Moray Eel', 341.0)
(None, 'caught', 'Cuttlefish', 28.2)
(None, 'caught', 'Moray Eel', 192.6)
(None, 'caught', 'Swordfish', 149.1)
(None, 'caught', 'Shrimp', 1.2)
(None, 'caught', 'Swordfish', 315.3)
(None, 'caught', 'Shark', 1319.9)
(None, 'caught', 'Mackerel', 45.4)
(None, 'caught', 'Mackerel', 59.9)
(None, 'caught', 'Blue Marlin', 805.2)
(None, 'caught', 'Moray Eel', 798.3)
(None, 'caught', 'Sea Turtle', 177.4)
(None, 'caught', 'Cuttlefish', 18.9)
(None, 'caught', 'Barracuda', 14.6)
(None, 'caught', 'Sole', 10.7)
(None, 'caught', 'Swordfish', 345.8)
(None, 'caught', 'Tuna', 10.0)
(None, 'caught', 'Sea Bass', 2.3)
(None, 'caught', 'Moray Eel', 539.7)
(None, 'caught', 'Stingray', 381.4)
(None, 'caught', 'Moray Eel', 158.0)
(None, 'caught', 'Amberjack', 108.2)
(None, 'caught', 'Moray Eel', 546.0)
(None, 'caught', 'Moray Eel', 1021.6)
(None, 'caught', 'Red Snapper', 49.5)
(None, 'caught', 'Red Snapper', 41.7)
(None, 'caught', 'Moray Eel', 578.6)
(None, 'caught', 'Tuna', 1186.0)
(None, 'caught', 'Shad', 15.1)
(None, 'caught', 'Grouper', 46.3)
(None, 'caught', 'Halibut', 415.0)
(None, 'caught', 'Squid', 1699.7)
(None, 'caught', 'Cod', 31.3)
(None, 'caught', 'Sea Turtle', 216.7)
(None, 'caught', 'Sailfish', 98.5)
(None, 'caught', 'Shark', 1521.1)
(None, 'caught', 'Shad', 26.4)
(None, 'caught', 'Shrimp', 0.9)
(None, 'caught', 'Moray Eel', 1396.9)
(None, 'caught', 'Flounder', 28.7)
(None, 'caught', 'Lionfish', 2.7)
(None, 'caught', 'Piranha', 7.6)
(None, 'caught', 'Sole', 10.5)
(None, 'caught', 'Sturgeon', 2082.1)
(None, 'caught', 'Lionfish', 1.2)
(None, 'caught', 'Halibut', 188.3)
(None, 'caught', 'Sea Bass', 9.5)
(None, 'caught', 'Moray Eel', 333.6)
(None, 'caught', 'Stingray', 710.1)
(None, 'caught', 'Sea Bass', 7.2)
(None, 'caught', 'Waspfish', 2.0)
(None, 'caught', 'Moray Eel', 1325.6)
(None, 'caught', 'Stingray', 519.1)
(None, 'caught', 'Red Snapper', 57.4)
(None, 'caught', 'Ray', 832.8)
(None, 'caught', 'Ray', 715.4)
(None, 'caught', 'Herring', 0.8)
(None, 'caught', 'Blue Marlin', 946.2)
(None, 'caught', 'Lobster', 23.7)
(None, 'caught', 'Cuttlefish', 20.5)
(None, 'caught', 'Sturgeon', 200.0)
(None, 'caught', 'Lionfish', 0.5)
(None, 'caught', 'Squid', 944.3)
(None, 'caught', 'Moray Eel', 278.0)
(None, 'caught', 'Squid', 851.5)
(None, 'caught', 'Herring', 1.2)
(None, 'caught', 'Cuttlefish', 17.0)
(None, 'caught', 'Mackerel', 133.5)
(None, 'caught', 'Lionfish', 1.8)
(None, 'caught', 'Moray Eel', 268.4)
(None, 'caught', 'Cuttlefish', 24.7)
(None, 'caught', 'Sardine', 2.4)
(None, 'caught', 'Haddock', 5.4)
(None, 'caught', 'Squid', 1044.1)
(None, 'caught', 'Tuna', 1745.4)
(None, 'caught', 'Lionfish', 3.6)
(None, 'caught', 'Sardine', 1.5)
(None, 'caught', 'Herring', 0.3)
(None, 'caught', 'Salmon', 30.0)
(None, 'caught', 'Ray', 687.4)
(None, 'caught', 'Piranha', 3.3)
(None, 'caught', 'Lionfish', 1.1)
(None, 'caught', 'Salmon', 16.4)
(None, 'caught', 'Moray Eel', 550.0)
(None, 'caught', 'Haddock', 4.3)
(None, 'caught', 'Moray Eel', 712.4)
(None, 'caught', 'Moray Eel', 713.0)
(None, 'caught', 'Sea Turtle', 178.5)
(None, 'caught', 'Squid', 413.0)
(None, 'caught', 'Moray Eel', 1371.6)
(None, 'caught', 'Sole', 6.1)
(None, 'caught', 'Waspfish', 3.0)
(None, 'caught', 'Mackerel', 59.1)
(None, 'caught', 'Sea Turtle', 249.6)
(None, 'caught', 'Barracuda', 14.9)
(None, 'caught', 'Cuttlefish', 15.9)
(None, 'caught', 'Dolp!', 10.0)
(None, 'caught', 'Dolphii', 10.0)
(None, 'caught', 'Dolphin', 10.0)
(None, 'caught', 'Moray Eel', 565.7)
(None, 'caught', 'Tuna', 1320.5)
(None, 'caught', 'Cuttlefish', 19.2)
(None, 'caught', 'Amberjack', 111.3)
(None, 'caught', 'Dolphin', 82.7)
(None, 'caught', 'Dolp!', 82.7)
(None, 'caught', 'Dolphit', 82.7)
(None, 'caught', 'Moray Eel', 673.5)
(None, 'caught', 'Salmon', 11.5)
(None, 'caught', 'Shad', 17.6)
(None, 'caught', 'Waspfish', 4.5)
(None, 'caught', 'Shrimp', 1.7)
(None, 'caught', 'Red Snapper', 26.1)
(None, 'caught', 'Mackerel', 82.5)
(None, 'caught', 'Moray Eel', 50.0)
(None, 'caught', 'Sturgeon', 1923.1)
(None, 'caught', 'Squid', 1060.5)
(None, 'caught', 'Cuttlefish', 5.0)
